,Program,Actual CWA,Score,Study Time,Lecturer Performance,Difficulty
0,Electrical,74,77,4,9,7
1,Computer,70,44,4,5,10
2,Electrical,68.3,70,3,8,8
3,Electrical,76,80,1,6,4
4,Biomedical,75,68,5,9,9
5,Computer,52.4,40,1,7,10
6,Electrical ,68.15,40,1.5,1,10
7,Computer,69.15,50,4.5,6,6
8,Biomedical,74,70,3.5,9,5
9,Electrical,79,73,4.5,5,3
10,Mechanical,79.86,92,4.5,8,9
11,Electrical ,64.86,53,3.5,3,8
12,Electrical ,70.06,65,1.5,6,8
13,Electrical ,66,41,3.5,1,9
14,Electrical,61.34,52,2.5,1,7
15,Electrical ,77.14,76,1.5,9,9
16,Electrical,77.19,77,4.5,5,9
17,Computer ,67,41,3.5,9,8
18,Chemical ,64,55,2.5,9,9
19,Chemical ,73.58,85,3.5,10,4
20,Chemical ,72.92,88,1.5,10,8
21,Chemical ,79.09,86,4.5,9,3
22,Chemical ,68,84,1.5,9,6
23,Computer ,77.58,67,3.5,6,5
24,Electrical,70.1,58,2.5,3,8
25,Petrochemical ,70.84,73,1.5,8,8
26,Petrochemical ,72.66,65,2.5,8,7
27,Petrochemical,74,80,4.5,10,4
28,Chemical,66,65,1.5,10,7
29,Petrochemical,75.6,72,2.5,7,7
30,Chemical,74.08,80,2.5,9,5
31,Electrical,74,62,1.5,3,8
32,Computer,68,40,0.5,8,6
33,Chemical,79.27,85,2.5,10,2
34,Chemical,65,68,1.5,10,4
35,Chemical,73,81,3.5,8,6
36,Petrochemical,73.78,86,3.5,7,6
37,Petrochemical,70.88,71,2.5,6,7
38,Chemical,68.45,78,4.5,10,8
39,Electrical,68,53,4.5,2,9
40,Chemical,74,83,4.5,10,3
41,Petrochemical,47.29,41,2.5,4,7
42,Petrochemical,69.89,73,1.5,6,5
43,Computer,77.82,68,3.5,7,6
44,Computer,80,72,2.5,4,8
45,Chemical,68.7,88,1.5,10,8
46,Electrical ,71.6,71,1.5,7,4
47,Electrical,70.06,65,1.5,6,8
48,Petrochemical ,75.49,89,3.5,9,3
49,Electrical,70.39,63,2.5,8,3
50,Chemical,72.73,86,3.5,9,6
51,Telecommunication,83.47,88,2.5,9,4
52,Electrical,64,60,4.5,6,6
53,Chemical,68.25,80,4.5,7,5
54,Petrochemical,70.99,67,4.5,8,4
55,Electrical,77,71,2.5,3,8
56,Electrical,71.58,77,0.8,9,5
58,Chemical,64,78,3.5,8,5
59,Electrical,77,71,2.5,3,8
60,Chemical,69.2,75,3.5,9,7
61,Chemical,75,79,5,8,2
62,Electrical,78.31,72,4.5,4,9
63,Civil,72.06,69,2.5,7,7
64,Civil,69,69,2.5,8,6
65,Electrical,69.38,58,0.8,4,5
66,Electrical ,75.54,87,5.5,9,6
67,Electrical,79.64,100,4.5,9,2
68,Electrical,84.07,90,3.5,8,7
69,Electrical ,54,43,0.8,8,7
70,Civil,66.9,59,2.5,5,6
71,Electrical ,71,79,0.5,8,8
72,Geomatic,69.19,72,2.5,3,3
73,Electrical,68.65,70,3.5,8,7
74,Electrical,62.45,68,2.5,6,6
75,Computer,78,90,3.5,10,2
76,Telecommunication,60,60,1.5,8,10
77,Electrical,74.48,86,0.8,9,6
78,Electrical ,62.78,54,6,4,10
79,Electrical,74.56,85,1.5,9,7
80,Chemical,56.99,52,4.5,3,7
81,Civil,63,65,1.5,4,10
82,Electrical,83,85,2.5,9,7
83,Electrical,67,60,4.5,3,10
84,Telecommunication,63,40,2.5,10,9
85,Electrical,65,44,2.5,1,5
86,Civil,64,60,3.5,5,7
87,Electrical,60,55,2.5,4,10
88,Electrical,67.8,60,2.5,4,8
89,Civil,63.48,48,4.5,4,9
90,Electrical,65,52,3.5,3,9
91,Telecommunication,59.5,24,1.5,4,9
92,Metallurgical,70.41,62,4.5,9,7
93,Electrical ,83.27,98,3.5,9,8
94,Electrical,51.71,62.7,4.5,9,8
95,Computer,66,54,3.5,3,10
96,Computer,59,41,2.5,5,9
97,Computer,67.53,51,2.5,3,8
98,Electrical,74.67,68,2.5,9,7
99,Civil,76.5,68,2.5,5,6
100,Computer,63,40,2.5,5,10
101,Electrical,70.65,85,4.5,10,3
102,Computer ,67,60,1.5,4,8
103,Computer,54,42,1.5,2,10
104,Computer,67.68,42,5,8,9
105,Computer,73.5,42,4.5,6,9
106,Electrical,75.11,83,3.5,9,9
107,Electrical ,81,100,4.5,10,9
108,Computer,68.71,40,1.5,2,10
