Cwa,Credits,Study Hours,Difficulty,Scores
88,3,30,3,96
88,3,45,2,76
88,2,33.75,3,80
88,2,48.75,5,98
88,2,37.5,2,87
88,3,45,5,86
88,2,30,3,94
88,4,45,4,92
88,1,30,2,76
85,1,30,2,88
85,1,67.5,5,89
85,3,41.25,2,95
85,1,33.75,3,77
85,3,63.75,4,89
85,2,37.5,4,85
85,1,37.5,2,84
85,3,37.5,1,76
85,2,30,1,90
85,3,41.25,1,76
85,1,37.5,3,89
80,3,41.25,3,77
80,2,63.75,4,89
80,1,41.25,1,87
80,1,45,5,68
80,1,37.5,3,70
80,3,67.5,5,80
80,3,41.25,2,85
80,1,33.75,1,73
80,2,33.75,1,88
80,2,63.75,4,84
80,2,33.75,1,66
82,4,52.5,5,91
82,2,41.25,2,86
82,4,30,2,91
82,2,37.5,3,81
82,4,41.25,4,72
82,4,37.5,3,73
82,2,41.25,3,86
82,2,41.25,2,77
87,1,56.25,4,86
87,1,71.25,4,93
87,1,41.25,3,97
87,2,71.25,5,97
87,1,45,2,88
87,1,37.5,2,88
87,1,41.25,1,77
87,3,45,4,86
87,3,45,3,80
87,1,41.25,5,75
87,2,37.5,2,93
87,1,37.5,5,84
86,4,41.25,2,76
86,2,41.25,3,91
86,1,41.25,2,73
86,2,37.5,3,96
86,2,45,1,88
86,4,37.5,2,85
86,2,33.75,3,90
86,4,71.25,5,89
84,4,37.5,3,78
84,4,41.25,1,84
84,2,41.25,2,95
84,1,33.75,1,83
84,3,30,3,93
84,3,33.75,3,74
84,1,41.25,4,74
84,2,33.75,2,92
83,2,71.25,4,92
83,1,41.25,1,68
83,1,45,2,76
83,1,33.75,2,77
83,1,30,2,74
83,2,41.25,3,71
83,1,60,5,90
83,2,71.25,4,91
83,2,33.75,2,69
83,3,75,4,87
83,3,33.75,3,89
83,2,33.75,1,92
82,1,30,3,90
82,1,63.75,5,73
82,1,75,4,73
82,1,63.75,5,81
82,2,33.75,2,68
82,3,45,5,90
82,3,48.75,4,79
82,1,48.75,5,86
82,3,41.25,1,86
82,1,48.75,4,90
86,3,37.5,1,99
86,2,63.75,5,89
86,3,30,1,86
86,3,41.25,2,89
86,1,37.5,2,97
86,4,41.25,2,78
86,3,30,1,75
81,1,30,2,75
81,1,41.25,5,70
81,1,33.75,4,72
81,1,63.75,4,92
81,2,71.25,5,82
81,2,41.25,3,81
81,2,37.5,1,84
81,2,30,3,86
81,2,41.25,1,70
81,1,30,2,84
81,3,37.5,3,89
81,2,37.5,2,77
82,3,71.25,4,95
82,1,45,2,85
82,2,56.25,4,78
82,2,45,5,80
82,2,41.25,5,76
82,4,41.25,3,92
82,1,37.5,4,70
82,3,71.25,4,78
82,4,45,4,73
82,3,33.75,2,88
82,2,37.5,2,89
82,4,30,2,70
82,2,33.75,2,76
82,4,30,1,69
82,4,37.5,1,91
82,3,41.25,1,88
82,2,33.75,3,94
87,3,67.5,4,88
87,2,41.25,3,97
87,3,37.5,1,74
87,1,30,2,90
87,3,41.25,1,91
87,2,37.5,5,81
87,1,37.5,2,96
87,1,41.25,1,85
87,1,33.75,2,81
87,3,41.25,3,91
87,1,45,4,87
86,4,37.5,5,80
86,3,33.75,1,81
86,3,37.5,1,89
86,3,60,4,90
86,4,33.75,3,85
86,4,48.75,5,96
86,2,30,5,76
84,4,45,3,86
84,2,41.25,2,96
84,1,37.5,5,75
84,1,60,4,82
84,4,67.5,4,89
84,4,30,3,77
84,1,45,4,87
84,3,37.5,1,78
86,2,30,3,84
86,2,75,4,81
86,2,45,4,86
86,1,45,4,91
86,3,45,2,90
86,1,33.75,2,92
86,3,67.5,5,91
86,2,67.5,5,80
86,2,33.75,2,91
86,1,45,2,77
86,2,45,5,78
86,2,56.25,5,87
85,3,56.25,5,91
85,2,37.5,3,90
85,2,41.25,3,73
85,1,41.25,5,72
85,2,52.5,5,93
85,2,33.75,3,89
85,2,41.25,3,74
85,1,41.25,1,83
85,1,33.75,4,75
85,3,41.25,2,91
85,4,41.25,3,90
85,2,37.5,2,78
85,2,41.25,5,87
85,4,41.25,5,82
85,2,37.5,5,82
85,4,37.5,3,85
85,1,45,1,95
85,1,45,2,101
85,3,41.25,2,79
82,1,41.25,3,92
82,3,33.75,1,72
82,3,33.75,1,91
82,1,71.25,5,81
82,4,30,3,88
82,1,33.75,4,73
82,2,45,5,87
82,1,33.75,2,82
82,1,33.75,4,77
82,2,33.75,4,75
82,2,45,4,72
82,3,56.25,4,84
84,3,37.5,1,92
84,2,37.5,2,90
84,2,33.75,3,68
84,3,60,4,82
84,1,45,4,77
84,2,33.75,3,89
84,3,37.5,2,79
84,1,60,4,89
84,2,63.75,5,85
84,3,52.5,4,89
84,2,45,5,80
85,4,45,2,79
85,4,56.25,4,93
85,4,45,4,81
85,2,48.75,4,92
85,2,33.75,1,90
85,3,45,5,79
85,1,45,4,82
85,1,71.25,5,93
85,1,33.75,4,80
81,1,45,5,87
81,3,30,1,85
81,1,37.5,1,90
81,1,41.25,1,65
81,1,33.75,1,69
81,2,33.75,3,84
81,3,52.5,5,81
81,2,63.75,5,77
81,2,41.25,1,68
81,1,71.25,5,89
81,1,33.75,2,81
81,3,37.5,3,88
87,3,56.25,5,92
87,2,56.25,5,92
87,2,37.5,4,82
87,3,37.5,5,81
87,2,56.25,5,89
87,2,33.75,2,84
87,3,37.5,3,88
87,3,33.75,3,88
87,2,37.5,2,86
82,2,37.5,2,85
82,1,33.75,1,87
82,3,33.75,2,78
82,3,52.5,5,78
82,4,37.5,5,71
82,3,52.5,5,87
82,4,48.75,4,92
85,3,41.25,1,96
85,2,45,5,82
85,3,67.5,4,97
85,3,41.25,4,73
85,4,37.5,2,85
85,3,33.75,5,76
82,3,33.75,1,79
82,3,41.25,2,88
82,4,67.5,4,90
82,3,56.25,4,80
82,4,45,3,68
82,2,33.75,2,72
82,4,75,5,92
83,1,63.75,5,85
83,1,33.75,4,74
83,2,33.75,2,83
83,1,45,5,75
83,1,71.25,4,81
83,2,63.75,4,81
83,4,37.5,2,86
83,2,37.5,3,80
83,4,41.25,1,91
83,4,67.5,4,80
